NROEMPRESA;SEQCOMPRADOR;DTAVDA;DOCTOS;VLR_VENDA;LUCRO;VERBA;CATEGORIA
14;1;2026-05-03;239;3573,44;940,96;39,90;PAS
14;3;2026-05-03;456;7409,51;1395,13;177,20;SECA DOCE
14;4;2026-05-03;368;5365,05;1742,76;39,15;SECA SALG
14;5;2026-05-03;513;8497,93;2305,94;93,65;PADARIA
14;6;2026-05-03;505;28012,92;3317,60;0,00;AÇOUGUE
14;7;2026-05-03;538;8061,39;1598,28;378,40;LIQUIDA
14;8;2026-05-03;408;11459,80;383,82;67,33;COMMODITIES
14;9;2026-05-03;617;11282,66;2474,63;0,00;FLV
14;10;2026-05-03;113;2367,42;767,95;0,00;BAZAR
14;15;2026-05-03;5;25,00;18,38;0,00;OUTROS
14;16;2026-05-03;171;3279,49;595,87;10,00;LIMPEZA
14;18;2026-05-03;196;4379,00;1144,82;9,00;PERFUMARIA
16;1;2026-05-01;167;2695,02;565,69;15,80;PAS
16;3;2026-05-01;288;3937,20;849,48;119,60;SECA DOCE
16;4;2026-05-01;280;4443,68;1487,00;31,84;SECA SALG
16;5;2026-05-01;335;5474,05;1654,59;77,92;PADARIA
16;6;2026-05-01;421;27842,88;1947,46;0,00;AÇOUGUE
16;7;2026-05-01;459;9826,28;1953,00;618,26;LIQUIDA
16;8;2026-05-01;285;8165,83;670,18;422,67;COMMODITIES
16;9;2026-05-01;510;9873,34;1758,91;0,00;FLV
16;10;2026-05-01;82;1711,53;481,48;0,00;BAZAR
16;15;2026-05-01;1;3,00;2,21;0,00;OUTROS
16;16;2026-05-01;117;2325,22;415,51;30,00;LIMPEZA
16;18;2026-05-01;165;3177,82;890,14;1,50;PERFUMARIA
16;1;2026-05-02;126;1712,13;437,38;17,80;PAS
16;3;2026-05-02;264;3280,66;735,06;106,70;SECA DOCE
16;4;2026-05-02;240;3503,61;1140,98;19,41;SECA SALG
16;5;2026-05-02;303;4776,80;1476,65;51,66;PADARIA
16;6;2026-05-02;336;19397,61;2048,47;0,00;AÇOUGUE
16;7;2026-05-02;396;7619,02;1517,24;532,30;LIQUIDA
16;8;2026-05-02;254;6923,06;594,47;282,67;COMMODITIES
16;9;2026-05-02;429;7733,15;1626,23;0,00;FLV
16;10;2026-05-02;78;1207,57;403,35;0,00;BAZAR
16;15;2026-05-02;1;1,00;0,74;0,00;OUTROS
16;16;2026-05-02;108;2377,53;296,77;20,00;LIMPEZA
16;18;2026-05-02;141;2950,91;837,74;18,00;PERFUMARIA
16;1;2026-05-03;133;1797,08;377,39;10,90;PAS
16;3;2026-05-03;255;2889,47;571,96;72,30;SECA DOCE
16;4;2026-05-03;232;2679,45;873,62;11,35;SECA SALG
16;5;2026-05-03;257;3851,51;1101,57;27,61;PADARIA
16;6;2026-05-03;274;15437,16;1583,30;0,00;AÇOUGUE
16;7;2026-05-03;362;5209,57;963,42;255,50;LIQUIDA
